Строка поиска	Перевод
Фичи загружены	Фичи загружены
Работаю по сценарию	Работаю по сценарию
Шаг	Шаг
не выполнен	не выполнен
Сеанс должен быть запущен с ключом TESTMANAGER.	Сеанс должен быть запущен с ключом TESTMANAGER.
TestClient НЕ подключен.	TestClient НЕ подключен.
Технические данные	Технические данные
ИмяФайла	ИмяФайла
ИмяПроцедуры	ИмяПроцедуры
ВерсияVB	ВерсияVB
ВерсияПлатформы	ВерсияПлатформы
РежимСовместимостиTestManager	РежимСовместимостиTestManager
Не использовать	Не использовать
Выполнение сценариев закончено. Ошибок не было.	Выполнение сценариев закончено. Ошибок не было.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ!	Выполнение сценариев закончено. БЫЛИ ОШИБКИ!
Порт %1 занят или находится вне указанного диапазона, порт подключения изменен на %2	Порт %1 занят или находится вне указанного диапазона, порт подключения изменен на %2
TestClient подключен на %1 порту.	TestClient подключен на %1 порту.
Построение дерева.	Построение дерева.
Уже открытый TestClient подключен на %1 порту.	Уже открытый TestClient подключен на %1 порту.
Получить изменения формы	Получить изменения формы
Получить состояние всей формы	Получить состояние всей формы
